flightDate,actual,sarima_pred,sarima_lower,sarima_upper,seasonal_naive_pred
2022-10-21,298.5452580867171,309.6404255783088,260.5070072635299,358.7738438930877,321.2080756997456
2022-10-22,242.99196145905023,266.9568734104508,207.1668817339061,326.74686508699546,269.21583587553386
2022-10-23,427.9854500818331,368.6447764078973,306.78849840431644,430.5010544114782,407.1170281425892
2022-10-24,340.57220715166466,312.9954097024805,248.54604382323078,377.44477558173025,341.7408072372999
2022-10-25,224.0529437400951,229.11531099547236,160.08670393738532,298.1439180535594,227.7462660406886
2022-10-26,236.21558501683504,241.4202864464885,167.99730144608193,314.8432714468951,243.67849329205367
2022-10-27,269.8365705272646,284.25210070830167,207.37372751640805,361.1304739001953,288.87605956864087
2022-10-28,300.08746690203003,301.34496861567686,216.18148379750187,386.50845343385186,321.2080756997456
2022-10-29,256.7926791893228,259.10589076381103,167.79217749668376,350.41960403093833,269.21583587553386
2022-10-30,334.7852996845426,362.12797031772755,266.64441066281734,457.61152997263775,407.1170281425892
2022-10-31,286.93519799219183,306.54084916929816,206.93234639423702,406.1493519443593,341.7408072372999
2022-11-01,215.40372838250252,222.21200082487306,118.13363225547809,326.29036939426805,227.7462660406886
2022-11-02,221.08908722109533,234.4232273223244,126.02202256571618,342.82443207893266,243.67849329205367
2022-11-03,261.9132449297972,277.39423991506726,164.9960180521901,389.7924617779444,288.87605956864087
2022-11-04,277.1942741116751,294.54178601362656,173.88257473757358,415.20099728967955,321.2080756997456
2022-11-05,232.27234824281152,252.26365677440722,125.24949389389124,379.2778196549232,269.21583587553386
2022-11-06,343.70052482269506,355.2606384781636,223.6586936304838,486.86258332584345,407.1170281425892
2022-11-07,291.0538754696726,299.6828998512409,163.4938275460147,435.8719721564671,341.7408072372999
2022-11-08,193.54842622950812,215.36419451613241,74.25333373790241,356.4750552943624,227.7462660406886
2022-11-09,216.11622754491017,227.5738298281471,81.68228589460804,373.4653737616861,243.67849329205367
2022-11-10,279.9781933842239,270.5410980147254,120.17583532188175,420.906360707569,288.87605956864087
2022-11-11,280.06539285714285,287.68858762663194,129.04341808059436,446.3337571726695,321.2080756997456
2022-11-12,223.87880613362543,245.41173687323553,80.12288428977197,410.70058945669905,269.21583587553386
2022-11-13,363.9918079096046,348.40894411033673,178.07161732710367,518.7462708935698,407.1170281425892
2022-11-14,278.01393581081084,292.83080220840105,117.44882278227911,468.212781634523,341.7408072372999
2022-11-15,194.7308006535948,208.5119543055493,27.778258878652082,389.2456497324465,227.7462660406886
2022-11-16,226.55596078431373,220.72170530824584,34.76687168139685,406.67653893509487,243.67849329205367
2022-11-17,277.6691055045872,263.68904117062397,72.80022745671619,454.57785488453175,288.87605956864087
2022-11-18,365.8625641025641,280.83650191012964,81.53418134542449,480.1388224748348,321.2080756997456
2022-11-19,389.9672614107884,238.55962323037448,32.303667484042194,444.8155789767068,269.21583587553386
