route,flightDate,mean_fare,n
ATL-CLT,2022-05-26,353.34611168562566,967.0
ATL-CLT,2022-05-27,337.25556947608203,878.0
ATL-CLT,2022-05-28,315.5141437308869,654.0
ATL-CLT,2022-05-29,367.444991708126,1206.0
ATL-CLT,2022-05-30,373.54679184549354,932.0
ATL-CLT,2022-05-31,352.35930805687207,1055.0
ATL-CLT,2022-06-01,332.91267241379313,1276.0
ATL-CLT,2022-06-02,316.4480502215657,1354.0
ATL-CLT,2022-06-03,306.8780165289256,1089.0
ATL-CLT,2022-06-04,313.74819293478265,736.0
ATL-CLT,2022-06-05,367.6997362869198,948.0
ATL-CLT,2022-06-06,327.02412096774196,1240.0
ATL-CLT,2022-06-07,308.842873015873,1260.0
ATL-CLT,2022-06-08,317.2296538750941,1329.0
ATL-CLT,2022-06-09,329.2187775061125,1227.0
ATL-CLT,2022-06-10,320.4809990485252,1051.0
ATL-CLT,2022-06-11,321.3815545755237,907.0
ATL-CLT,2022-06-12,341.52753637245394,1031.0
ATL-CLT,2022-06-13,328.71637784090905,1408.0
ATL-CLT,2022-06-14,307.1420053835801,1486.0
ATL-CLT,2022-06-15,306.43920525224604,1447.0
ATL-CLT,2022-06-16,326.07374057315235,1326.0
ATL-CLT,2022-06-17,329.9636490008688,1151.0
ATL-DEN,2022-04-17,304.9291428571429,35.0
ATL-DEN,2022-04-18,307.7155294117647,85.0
ATL-DEN,2022-04-19,293.4347872340426,188.0
ATL-DEN,2022-04-20,282.7091620111732,179.0
ATL-DEN,2022-04-21,259.4231952662722,169.0
ATL-DEN,2022-04-22,285.46573076923073,260.0
ATL-DEN,2022-04-23,250.07865800865804,231.0
ATL-DEN,2022-04-24,325.1842281879194,149.0
ATL-DEN,2022-04-25,338.70964143426295,251.0
ATL-DEN,2022-04-26,263.89739557739557,407.0
ATL-DEN,2022-04-27,308.34459074733104,281.0
ATL-DEN,2022-04-28,257.8951147540984,305.0
ATL-DEN,2022-04-29,234.14186486486483,370.0
ATL-DEN,2022-04-30,247.58302832244013,459.0
ATL-DEN,2022-05-01,335.429534883721,344.0
ATL-DEN,2022-05-02,312.40378217821785,505.0
ATL-DEN,2022-05-03,262.6694891640867,646.0
ATL-DEN,2022-05-04,277.15264900662254,604.0
ATL-DEN,2022-05-05,270.71667692307693,650.0
ATL-DEN,2022-05-06,290.0523484848485,792.0
ATL-DEN,2022-05-07,254.70097463284378,749.0
ATL-DEN,2022-05-08,391.9280263157895,684.0
ATL-DEN,2022-05-09,395.9879337899544,876.0
ATL-DEN,2022-05-10,300.3813245033113,1057.0
ATL-DEN,2022-05-11,306.72663751214776,1029.0
ATL-DEN,2022-05-12,399.8049014778325,812.0
ATL-DEN,2022-05-13,359.4624828375286,874.0
ATL-DEN,2022-05-14,297.4608194905869,903.0
ATL-DEN,2022-05-15,456.8736049382717,810.0
